295,BV Truyền Máu Huyết Học,,15/01/2023
130123ghnd2,BV Truyền Máu Huyết Học,True,13/01/2023
0212,BV Truyền Máu Huyết Học,,13/01/2023
0200,BV Truyền Máu Huyết Học,,12/01/2023
1101233ghnd2,BV Truyền Máu Huyết Học,True,11/01/2023
BLTT20230177,BV Truyền Máu Huyết Học,,11/01/2023
680,BV Truyền Máu Huyết Học,,10/01/2023
GH09012023ND2,BV Truyền Máu Huyết Học,True,09/01/2023
BLTT141,BV Truyền Máu Huyết Học,,09/01/2023
20230103,BV Truyền Máu Huyết Học,,08/01/2023
0050,BV Truyền Máu Huyết Học,,07/01/2023
1000,BV Truyền Máu Huyết Học,True,06/01/2023
0601232GHND2,BV Truyền Máu Huyết Học,True,06/01/2023
2k23ttm300,BV Truyền Máu Huyết Học,,05/01/2023
1192,BV Truyền Máu Huyết Học,,05/01/2023
20401231,BV Truyền Máu Huyết Học,True,04/01/2023
1136,BV Truyền Máu Huyết Học,,03/01/2023
0201231GHND2,BV Truyền Máu Huyết Học,True,02/01/2023
0011109,BV Truyền Máu Huyết Học,,02/01/2023
0011048,BV Truyền Máu Huyết Học,,01/01/2023
0011069,BV Truyền Máu Huyết Học,,01/01/2023
